Statistical profiling result from wlog.log, (8360 ticks, 8 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Function: ^isUint8Array /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/bson/lib/parser/utils.js:60:22
      1    0.0%    0.0%  Function: ^isRegExp /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/bson/lib/parser/utils.js:72:18
      1    0.0%    0.0%  Function: ^insertGuarded node:internal/timers:325:23
      1    0.0%    0.0%  Function: ^initialize /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/passport/lib/middleware/initialize.js:51:29
      1    0.0%    0.0%  Function: ^incRefCount node:internal/timers:299:21
      1    0.0%    0.0%  Function: ^header /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/response.js:777:29
      1    0.0%    0.0%  Function: ^handleCache /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:210:21
      1    0.0%    0.0%  Function: ^getStatsFromBinding node:internal/fs/utils:531:29
      1    0.0%    0.0%  Function: ^getHeader node:_http_outgoing:590:57
      1    0.0%    0.0%  Function: ^get readConcern /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/collection.js:103:20
      1    0.0%    0.0%  Function: ^get node:internal/streams/readable:1270:8
      1    0.0%    0.0%  Function: ^get node:internal/streams/readable:1202:18
      1    0.0%    0.0%  Function: ^get node:internal/console/constructor:203:14
      1    0.0%    0.0%  Function: ^get hasDataBearingServers /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/sdam/topology_description.js:231:30
      1    0.0%    0.0%  Function: ^get description /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/sdam/topology.js:148:20
      1    0.0%    0.0%  Function: ^get description /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connection.js:74:20
      1    0.0%    0.0%  Function: ^get /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/debug/src/common.js:125:9
      1    0.0%    0.0%  Function: ^generateETag /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/utils.js:273:32
      1    0.0%    0.0%  Function: ^fromString node:buffer:432:20
      1    0.0%    0.0%  Function: ^fromString /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/utils.js:370:22
      1    0.0%    0.0%  Function: ^fromOptions /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/explain.js:24:23
      1    0.0%    0.0%  Function: ^fresh /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/parseurl/index.js:153:16
      1    0.0%    0.0%  Function: ^formatValue node:internal/util/inspect:745:21
      1    0.0%    0.0%  Function: ^formatProperty node:internal/util/inspect:1810:24
      1    0.0%    0.0%  Function: ^findOne /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/collection.js:218:12
      1    0.0%    0.0%  Function: ^finalhandler /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/finalhandler/index.js:77:23
